4156.41026362: (1045.408203125, 323.7377014160156)
4156.517768063: (1046.2564697265625, 318.176025390625)
4156.635424956: (1041.8919677734375, 310.7724914550781)
4156.743170088: (1039.12841796875, 327.0294494628906)
4156.851324195: (1040.450927734375, 324.1748962402344)
4156.967317557: (1045.3846435546875, 317.1142272949219)
4157.073080706: (1043.318115234375, 320.29522705078125)
4157.183967399: (1038.6424560546875, 331.7775573730469)
4157.288606011: (1043.1669921875, 324.0601806640625)
4157.40809747: (1043.7496337890625, 319.8598327636719)
4157.515252929: (1036.31396484375, 312.99957275390625)
4157.6226958: (1039.583251953125, 332.49639892578125)
4157.738688641: (1040.3746337890625, 325.6828918457031)
4157.849279428: (1043.218505859375, 320.88055419921875)
4157.953670729: (1033.5771484375, 316.74267578125)
4158.062509341: (1021.276123046875, 319.9916076660156)
4158.179558896: (1020.0671997070312, 312.65228271484375)
4158.286897118: (1019.3097534179688, 292.9168701171875)
4158.392944181: (974.9010009765625, 326.2545166015625)
4158.510668041: (946.5716552734375, 331.6877136230469)
4158.619673329: (928.5152587890625, 344.04095458984375)
4158.727850344: (911.8798217773438, 338.227294921875)
4158.833501601: (None, None)
4158.952858923: (None, None)
4159.057996765: (None, None)
4159.165416079: (None, None)
4159.284276136: (744.4732055664062, 344.2392272949219)
4159.389991091: (693.13720703125, 350.8736267089844)
4159.483052429: (None, None)
4159.583040163: (None, None)
4159.684227907: (594.7061767578125, 348.38726806640625)
4159.773600356: (None, None)
4159.871373023: (None, None)
4159.969506489: (None, None)
4160.066840019: (515.8951416015625, 341.7127990722656)
4160.164978641: (489.74981689453125, 336.8589782714844)
4160.262003197: (463.13751220703125, 340.6225280761719)
4160.360525068: (431.9207763671875, 339.0128173828125)
4160.457593271: (419.3582763671875, 338.4132080078125)
4160.556923413: (407.6421813964844, 336.3376770019531)
4160.654745926: (395.9402770996094, 353.2703857421875)
4160.750557242: (370.5141906738281, 351.3525085449219)
4160.855974461: (357.0832824707031, 341.7076110839844)
4160.942488316: (370.5141906738281, 351.3525085449219)
4161.042365876: (None, None)
4161.140769506: (None, None)
4161.248777325: (None, None)
4161.355541695: (None, None)
4161.452375558: (None, None)
4161.568524888: (None, None)
4161.677331446: (None, None)
4161.785976119: (None, None)
4161.894080656: (None, None)
4161.999761891: (None, None)
4162.116311025: (None, None)
4162.225945275: (None, None)
4162.334162474: (None, None)
4162.437402126: (None, None)
4162.554447015: (None, None)
4162.663709839: (None, None)
4162.773351954: (None, None)
4162.888262976: (None, None)
4162.99765429: (None, None)
4163.105936901: (None, None)
4163.213313373: (None, None)
4163.328985892: (None, None)
4163.436082193: (None, None)
4163.539773007: (None, None)
4163.658299163: (None, None)
4163.762856792: (None, None)
4163.86856088: (None, None)
4163.984086197: (None, None)
4164.101859181: (None, None)
4164.202793077: (None, None)
4164.313247459: (None, None)
4164.425514069: (None, None)
4164.533224925: (None, None)
4164.642491538: (None, None)
4164.746022702: (None, None)
4164.851987371: (None, None)
4164.974116871: (None, None)
4165.077512136: (None, None)
4165.184331535: (None, None)
4165.302789754: (None, None)
4165.410558524: (None, None)
4165.515556996: (None, None)
4165.621964237: (None, None)
4165.739253648: (None, None)
4165.844933295: (None, None)
4165.961531725: (None, None)
4166.05734988: (None, None)
4166.174986123: (None, None)
4166.28281067: (None, None)
4166.391373535: (None, None)
4166.501305845: (None, None)
4166.615265079: (None, None)
4166.721995559: (None, None)
4166.828245438: (None, None)
4166.943951003: (None, None)
4167.05553339: (None, None)
80670.009053408: (None, None)
80670.116647806: (None, None)
80670.116856716: (None, None)
